,study_ID,site_ID,state,rye_planting_date,rye_sampling_date,growing_days,N_rate_fall.kg_ha,N_rate_spring.kg_ha,zone,GS0_20avgTmin,GS0_20avgTmax,GS0_20avgTavg,GS0_20avgSrad,GS0_20cRain,GS0_20cGDD,GS20_30avgTmin,GS20_30avgTmax,GS20_30avgTavg,GS20_30avgSrad,GS20_30cRain,GS20_30cGDD,GS30_40avgTmin,GS30_40avgTmax,GS30_40avgTavg,GS30_40avgSrad,GS30_40cRain,GS30_40cGDD,GS40_50avgTmin,GS40_50avgTmax,GS40_50avgTavg,GS40_50avgSrad,GS40_50cRain,GS40_50cGDD,GS50avgTmin,GS50avgTmax,GS50avgTavg,GS50avgSrad,GS50cRain,GS50cGDD,FallcumGDD,SpringcumGDD,TotalcumGDD,OM (%/100),Sand,Silt,Clay,awc,legume_preceding,planting_method,cn_ratio_mean,cn_ratio_std,cn_ratio_count,biomass_mean,biomass_mean_std,biomass_count
10,7,3,IA,9/3/15,4/26/16,236,0,0,5b,14,26.29,20.15,14.96,70.31,387.04,5.74,18.74,12.24,10.55,59.72,305.615,-4.42,5.2,0.39,9.19,350.93,170.92,8.45,21.82,15.13,17.5,31.94,139.53,,,,,,,735.31,254.91,1003.115,0.0498,0.3278,0.4078,0.2644,0.1977,yes,Broadcast,32.73333333,0.747635161,3,4653.858333,262.7158807,3
11,8,4,MD,9/10/09,3/25/10,196,134.52,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,6.74,20.27,13.51,16.9,6.14,18.215,,,,,,,,,,,,,771.48,134.6,943.27,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,9.405434031,,1,1237.25,,1
12,8,4,MD,9/10/09,4/20/10,222,134.52,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,7.74,20.87,14.3,17.99,52.62,257.415,5.6,18.87,12.23,21.25,0,15.66,,,,,,,771.48,389.465,1198.135,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,24.73720371,,1,4661.5,,1
13,8,4,MD,9/10/09,5/11/10,243,134.52,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,7.74,20.87,14.3,17.99,52.62,257.415,10.81,22.73,16.77,18.25,41.38,246.75,5.88,16.69,11.28,19.18,5.33,20.65,771.48,641.205,1449.875,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,48.72768439,,1,8300.5,,1
14,8,4,MD,9/10/09,3/25/10,196,201.78,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,6.74,20.27,13.51,16.9,6.14,18.215,,,,,,,,,,,,,771.48,134.6,943.27,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,8.761639361,,1,1532.75,,1
15,8,4,MD,9/10/09,4/20/10,222,201.78,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,7.74,20.87,14.3,17.99,52.62,257.415,5.6,18.87,12.23,21.25,0,15.66,,,,,,,771.48,389.465,1198.135,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,18.87254557,,1,6900.25,,1
16,8,4,MD,9/10/09,5/11/10,243,201.78,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,7.74,20.87,14.3,17.99,52.62,257.415,10.81,22.73,16.77,18.25,41.38,246.75,5.88,16.69,11.28,19.18,5.33,20.65,771.48,641.205,1449.875,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,41.00441927,,1,7334.5,,1
17,8,4,MD,9/10/09,3/25/10,196,33.63,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,6.74,20.27,13.51,16.9,6.14,18.215,,,,,,,,,,,,,771.48,134.6,943.27,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,11.05538316,,1,736.75,,1
18,8,4,MD,9/10/09,4/20/10,222,33.63,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,7.74,20.87,14.3,17.99,52.62,257.415,5.6,18.87,12.23,21.25,0,15.66,,,,,,,771.48,389.465,1198.135,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,27.84720911,,1,3466.75,,1
19,8,4,MD,9/10/09,5/11/10,243,33.63,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,7.74,20.87,14.3,17.99,52.62,257.415,10.81,22.73,16.77,18.25,41.38,246.75,5.88,16.69,11.28,19.18,5.33,20.65,771.48,641.205,1449.875,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,54.52787099,,1,5852,,1
20,8,4,MD,9/10/09,3/25/10,196,67.26,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,6.74,20.27,13.51,16.9,6.14,18.215,,,,,,,,,,,,,771.48,134.6,943.27,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,10.53890978,,1,1203.25,,1
21,8,4,MD,9/10/09,4/20/10,222,67.26,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,7.74,20.87,14.3,17.99,52.62,257.415,5.6,18.87,12.23,21.25,0,15.66,,,,,,,771.48,389.465,1198.135,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,27.78782938,,1,5457.25,,1
22,8,4,MD,9/10/09,5/11/10,243,67.26,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,7.74,20.87,14.3,17.99,52.62,257.415,10.81,22.73,16.77,18.25,41.38,246.75,5.88,16.69,11.28,19.18,5.33,20.65,771.48,641.205,1449.875,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,54.00433706,,1,9078,,1
23,8,4,MD,9/10/09,3/25/10,196,100.89,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,6.74,20.27,13.51,16.9,6.14,18.215,,,,,,,,,,,,,771.48,134.6,943.27,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,10.01651136,,1,1220.5,,1
24,8,4,MD,9/10/09,4/20/10,222,100.89,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,7.74,20.87,14.3,17.99,52.62,257.415,5.6,18.87,12.23,21.25,0,15.66,,,,,,,771.48,389.465,1198.135,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,24.59569705,,1,4856.75,,1
25,8,4,MD,9/10/09,5/11/10,243,100.89,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,7.74,20.87,14.3,17.99,52.62,257.415,10.81,22.73,16.77,18.25,41.38,246.75,5.88,16.69,11.28,19.18,5.33,20.65,771.48,641.205,1449.875,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,49.64080787,,1,7958,,1
26,8,4,MD,9/10/09,3/25/10,196,0,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,6.74,20.27,13.51,16.9,6.14,18.215,,,,,,,,,,,,,771.48,134.6,943.27,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,11.78152029,,1,703.5,,1
27,8,4,MD,9/10/09,4/20/10,222,0,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,7.74,20.87,14.3,17.99,52.62,257.415,5.6,18.87,12.23,21.25,0,15.66,,,,,,,771.48,389.465,1198.135,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,30.7754447,,1,2929.25,,1
28,8,4,MD,9/10/09,5/11/10,243,0,0,7b,14.23,23.51,18.87,13.52,70.28,375.98,1.23,10,5.61,8.77,684.31,549.08,7.74,20.87,14.3,17.99,52.62,257.415,10.81,22.73,16.77,18.25,41.38,246.75,5.88,16.69,11.28,19.18,5.33,20.65,771.48,641.205,1449.875,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,52.91941142,,1,3865,,1
29,8,4,MD,10/13/10,3/2/11,140,0,33.63,7b,-0.24,9.17,4.46,8.28,276.8,373.84,,,,,,,,,,,,,,,,,,,,,,,,,311.515,4.35,373.835,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,15.84879986,,1,908.0875,,1
30,8,4,MD,10/13/10,3/28/11,166,0,33.63,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.69,13.47,8.08,14.01,27.7,67.085,,,,,,,,,,,,,,,,,,,311.515,91.195,460.68,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,17.62457265,,1,2266.955,,1
31,8,4,MD,10/13/10,5/2/11,201,0,33.63,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.75,13.74,8.25,14.45,53.79,104.885,8.19,18.75,13.47,17.05,46.08,108.855,11.29,23.83,17.56,19.16,18.31,105.275,13.2,22.61,17.91,17.46,4.32,81.055,311.515,424.185,793.67,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,41.90403124,,1,3059.93,,1
32,8,4,MD,10/13/10,3/2/11,140,0,67.26,7b,-0.24,9.17,4.46,8.28,276.8,373.84,,,,,,,,,,,,,,,,,,,,,,,,,311.515,4.35,373.835,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,14.95062695,,1,1159.855,,1
33,8,4,MD,10/13/10,3/28/11,166,0,67.26,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.69,13.47,8.08,14.01,27.7,67.085,,,,,,,,,,,,,,,,,,,311.515,91.195,460.68,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,14.98553558,,1,2377.8275,,1
34,8,4,MD,10/13/10,5/2/11,201,0,67.26,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.75,13.74,8.25,14.45,53.79,104.885,8.19,18.75,13.47,17.05,46.08,108.855,11.29,23.83,17.56,19.16,18.31,105.275,13.2,22.61,17.91,17.46,4.32,81.055,311.515,424.185,793.67,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,44.2109905,,1,6011.81,,1
35,8,4,MD,10/13/10,3/2/11,140,168.15,0,7b,-0.24,9.17,4.46,8.28,276.8,373.84,,,,,,,,,,,,,,,,,,,,,,,,,311.515,4.35,373.835,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,11.28732347,,1,2258.74,,1
36,8,4,MD,10/13/10,3/28/11,166,168.15,0,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.69,13.47,8.08,14.01,27.7,67.085,,,,,,,,,,,,,,,,,,,311.515,91.195,460.68,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,18.11043656,,1,4147.47,,1
37,8,4,MD,10/13/10,5/2/11,201,168.15,0,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.75,13.74,8.25,14.45,53.79,104.885,8.19,18.75,13.47,17.05,46.08,108.855,11.29,23.83,17.56,19.16,18.31,105.275,13.2,22.61,17.91,17.46,4.32,81.055,311.515,424.185,793.67,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,32.46586097,,1,6596.24,,1
38,8,4,MD,10/13/10,3/2/11,140,168.15,33.63,7b,-0.24,9.17,4.46,8.28,276.8,373.84,,,,,,,,,,,,,,,,,,,,,,,,,311.515,4.35,373.835,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,11.88541235,,1,2176.97,,1
39,8,4,MD,10/13/10,3/28/11,166,168.15,33.63,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.69,13.47,8.08,14.01,27.7,67.085,,,,,,,,,,,,,,,,,,,311.515,91.195,460.68,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,16.64334756,,1,4444.565,,1
40,8,4,MD,10/13/10,5/2/11,201,168.15,33.63,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.75,13.74,8.25,14.45,53.79,104.885,8.19,18.75,13.47,17.05,46.08,108.855,11.29,23.83,17.56,19.16,18.31,105.275,13.2,22.61,17.91,17.46,4.32,81.055,311.515,424.185,793.67,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,29.28945699,,1,7125.5475,,1
41,8,4,MD,10/13/10,3/2/11,140,168.15,67.26,7b,-0.24,9.17,4.46,8.28,276.8,373.84,,,,,,,,,,,,,,,,,,,,,,,,,311.515,4.35,373.835,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,11.95231737,,1,2104.5225,,1
42,8,4,MD,10/13/10,3/28/11,166,168.15,67.26,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.69,13.47,8.08,14.01,27.7,67.085,,,,,,,,,,,,,,,,,,,311.515,91.195,460.68,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,15.68411781,,1,4276.6425,,1
43,8,4,MD,10/13/10,5/2/11,201,168.15,67.26,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.75,13.74,8.25,14.45,53.79,104.885,8.19,18.75,13.47,17.05,46.08,108.855,11.29,23.83,17.56,19.16,18.31,105.275,13.2,22.61,17.91,17.46,4.32,81.055,311.515,424.185,793.67,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,26.28921186,,1,5185.915,,1
44,8,4,MD,10/13/10,3/2/11,140,33.63,0,7b,-0.24,9.17,4.46,8.28,276.8,373.84,,,,,,,,,,,,,,,,,,,,,,,,,311.515,4.35,373.835,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,16.67776093,,1,1437.445,,1
45,8,4,MD,10/13/10,3/28/11,166,33.63,0,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.69,13.47,8.08,14.01,27.7,67.085,,,,,,,,,,,,,,,,,,,311.515,91.195,460.68,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,25.55261074,,1,2702.905,,1
46,8,4,MD,10/13/10,5/2/11,201,33.63,0,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.75,13.74,8.25,14.45,53.79,104.885,8.19,18.75,13.47,17.05,46.08,108.855,11.29,23.83,17.56,19.16,18.31,105.275,13.2,22.61,17.91,17.46,4.32,81.055,311.515,424.185,793.67,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,46.29979236,,1,8139.545,,1
47,8,4,MD,10/13/10,3/2/11,140,33.63,33.63,7b,-0.24,9.17,4.46,8.28,276.8,373.84,,,,,,,,,,,,,,,,,,,,,,,,,311.515,4.35,373.835,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,16.23352337,,1,1365.715,,1
48,8,4,MD,10/13/10,3/28/11,166,33.63,33.63,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.69,13.47,8.08,14.01,27.7,67.085,,,,,,,,,,,,,,,,,,,311.515,91.195,460.68,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,20.65366798,,1,2958.02,,1
49,8,4,MD,10/13/10,5/2/11,201,33.63,33.63,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.75,13.74,8.25,14.45,53.79,104.885,8.19,18.75,13.47,17.05,46.08,108.855,11.29,23.83,17.56,19.16,18.31,105.275,13.2,22.61,17.91,17.46,4.32,81.055,311.515,424.185,793.67,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,43.52835181,,1,4843.8325,,1
50,8,4,MD,10/13/10,3/2/11,140,33.63,67.26,7b,-0.24,9.17,4.46,8.28,276.8,373.84,,,,,,,,,,,,,,,,,,,,,,,,,311.515,4.35,373.835,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,17.37270133,,1,1463.2675,,1
51,8,4,MD,10/13/10,3/28/11,166,33.63,67.26,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.69,13.47,8.08,14.01,27.7,67.085,,,,,,,,,,,,,,,,,,,311.515,91.195,460.68,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,19.12824879,,1,2793.325,,1
52,8,4,MD,10/13/10,5/2/11,201,33.63,67.26,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.75,13.74,8.25,14.45,53.79,104.885,8.19,18.75,13.47,17.05,46.08,108.855,11.29,23.83,17.56,19.16,18.31,105.275,13.2,22.61,17.91,17.46,4.32,81.055,311.515,424.185,793.67,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,38.09390246,,1,5936.5725,,1
53,8,4,MD,10/13/10,3/2/11,140,67.26,0,7b,-0.24,9.17,4.46,8.28,276.8,373.84,,,,,,,,,,,,,,,,,,,,,,,,,311.515,4.35,373.835,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,14.25440915,,1,1854.19,,1
54,8,4,MD,10/13/10,3/28/11,166,67.26,0,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.69,13.47,8.08,14.01,27.7,67.085,,,,,,,,,,,,,,,,,,,311.515,91.195,460.68,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,22.63397724,,1,3835.305,,1
55,8,4,MD,10/13/10,5/2/11,201,67.26,0,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.75,13.74,8.25,14.45,53.79,104.885,8.19,18.75,13.47,17.05,46.08,108.855,11.29,23.83,17.56,19.16,18.31,105.275,13.2,22.61,17.91,17.46,4.32,81.055,311.515,424.185,793.67,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,41.47540836,,1,6092.7375,,1
56,8,4,MD,10/13/10,3/2/11,140,67.26,33.63,7b,-0.24,9.17,4.46,8.28,276.8,373.84,,,,,,,,,,,,,,,,,,,,,,,,,311.515,4.35,373.835,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,14.23943016,,1,1875.7075,,1
57,8,4,MD,10/13/10,3/28/11,166,67.26,33.63,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.69,13.47,8.08,14.01,27.7,67.085,,,,,,,,,,,,,,,,,,,311.515,91.195,460.68,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,19.82247117,,1,3389.6675,,1
58,8,4,MD,10/13/10,5/2/11,201,67.26,33.63,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.75,13.74,8.25,14.45,53.79,104.885,8.19,18.75,13.47,17.05,46.08,108.855,11.29,23.83,17.56,19.16,18.31,105.275,13.2,22.61,17.91,17.46,4.32,81.055,311.515,424.185,793.67,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,34.39051936,,1,5458.005,,1
59,8,4,MD,10/13/10,3/2/11,140,67.26,67.26,7b,-0.24,9.17,4.46,8.28,276.8,373.84,,,,,,,,,,,,,,,,,,,,,,,,,311.515,4.35,373.835,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,14.90989044,,1,1790.35,,1
60,8,4,MD,10/13/10,3/28/11,166,67.26,67.26,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.69,13.47,8.08,14.01,27.7,67.085,,,,,,,,,,,,,,,,,,,311.515,91.195,460.68,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,17.07936398,,1,3454.2525,,1
61,8,4,MD,10/13/10,5/2/11,201,67.26,67.26,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.75,13.74,8.25,14.45,53.79,104.885,8.19,18.75,13.47,17.05,46.08,108.855,11.29,23.83,17.56,19.16,18.31,105.275,13.2,22.61,17.91,17.46,4.32,81.055,311.515,424.185,793.67,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,35.51332401,,1,6938.7575,,1
62,8,4,MD,10/13/10,3/2/11,140,100.89,0,7b,-0.24,9.17,4.46,8.28,276.8,373.84,,,,,,,,,,,,,,,,,,,,,,,,,311.515,4.35,373.835,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,13.24958334,,1,1883.5975,,1
63,8,4,MD,10/13/10,3/28/11,166,100.89,0,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.69,13.47,8.08,14.01,27.7,67.085,,,,,,,,,,,,,,,,,,,311.515,91.195,460.68,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,21.0900422,,1,3068.89,,1
64,8,4,MD,10/13/10,5/2/11,201,100.89,0,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.75,13.74,8.25,14.45,53.79,104.885,8.19,18.75,13.47,17.05,46.08,108.855,11.29,23.83,17.56,19.16,18.31,105.275,13.2,22.61,17.91,17.46,4.32,81.055,311.515,424.185,793.67,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,39.31802528,,1,6864.83,,1
65,8,4,MD,10/13/10,3/2/11,140,100.89,33.63,7b,-0.24,9.17,4.46,8.28,276.8,373.84,,,,,,,,,,,,,,,,,,,,,,,,,311.515,4.35,373.835,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,13.48232617,,1,1779.59,,1
66,8,4,MD,10/13/10,3/28/11,166,100.89,33.63,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.69,13.47,8.08,14.01,27.7,67.085,,,,,,,,,,,,,,,,,,,311.515,91.195,460.68,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,18.56865984,,1,3431.6475,,1
67,8,4,MD,10/13/10,5/2/11,201,100.89,33.63,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.75,13.74,8.25,14.45,53.79,104.885,8.19,18.75,13.47,17.05,46.08,108.855,11.29,23.83,17.56,19.16,18.31,105.275,13.2,22.61,17.91,17.46,4.32,81.055,311.515,424.185,793.67,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,36.85955072,,1,5976.815,,1
68,8,4,MD,10/13/10,3/2/11,140,100.89,67.26,7b,-0.24,9.17,4.46,8.28,276.8,373.84,,,,,,,,,,,,,,,,,,,,,,,,,311.515,4.35,373.835,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,13.4596776,,1,1904.4,,1
69,8,4,MD,10/13/10,3/28/11,166,100.89,67.26,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.69,13.47,8.08,14.01,27.7,67.085,,,,,,,,,,,,,,,,,,,311.515,91.195,460.68,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,15.71825568,,1,3243.2725,,1
70,8,4,MD,10/13/10,5/2/11,201,100.89,67.26,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.75,13.74,8.25,14.45,53.79,104.885,8.19,18.75,13.47,17.05,46.08,108.855,11.29,23.83,17.56,19.16,18.31,105.275,13.2,22.61,17.91,17.46,4.32,81.055,311.515,424.185,793.67,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,27.68112774,,1,6367.455,,1
